Epoch number,number of human population,number of humans killed by zombie,number of humans starved to death,number of zombie population,number of zombies killed by humans
652,696,9304,0,318,9021,
653,696,9304,0,318,9021,
654,693,9307,0,318,9024,
655,693,9307,0,314,9028,
656,692,9308,0,315,9028,
657,691,9309,0,316,9028,
658,687,9313,0,317,9031,
659,687,9313,0,317,9031,
660,686,9314,0,317,9032,
661,685,9315,0,317,9033,
662,685,9315,0,317,9033,
663,685,9315,0,317,9033,
664,684,9316,0,318,9033,
665,683,9317,0,319,9033,
666,682,9318,0,320,9033,
667,681,9319,0,320,9034,
668,681,9319,0,320,9034,
669,681,9319,0,320,9034,
670,680,9320,0,321,9034,
671,679,9321,0,322,9034,
672,660,9340,0,323,9052,
673,660,9340,0,323,9052,
674,660,9340,0,323,9052,
675,654,9346,0,325,9056,
676,652,9348,0,326,9057,
677,651,9349,0,327,9057,
678,650,9350,0,328,9057,
679,650,9350,0,328,9057,
680,650,9350,0,328,9057,
681,650,9350,0,328,9057,
682,635,9365,0,329,9071,
683,630,9370,0,330,9075,
684,629,9371,0,331,9075,
685,628,9372,0,332,9075,
686,627,9373,0,333,9075,
687,626,9374,0,334,9075,
688,626,9374,0,334,9075,
689,626,9374,0,334,9075,
690,625,9375,0,334,9076,
691,623,9377,0,336,9076,
692,620,9380,0,338,9077,
693,620,9380,0,338,9077,
694,620,9380,0,338,9077,
695,620,9380,0,338,9077,
696,620,9380,0,338,9077,
697,620,9380,0,338,9077,
698,619,9381,0,339,9077,
699,618,9382,0,339,9078,
700,617,9383,0,340,9078,
701,616,9384,0,341,9078,
702,612,9388,0,341,9082,
703,611,9389,0,342,9082,
704,609,9391,0,343,9083,
705,608,9392,0,343,9084,
706,608,9392,0,343,9084,
707,605,9395,0,343,9087,
708,600,9400,0,348,9087,
709,596,9404,0,352,9087,
710,593,9407,0,354,9088,
711,593,9407,0,354,9088,
712,592,9408,0,354,9089,
713,592,9408,0,354,9089,
714,592,9408,0,354,9089,
715,591,9409,0,354,9090,
716,591,9409,0,354,9090,
717,591,9409,0,354,9090,
718,588,9412,0,355,9092,
719,587,9413,0,356,9092,
720,586,9414,0,357,9092,
721,586,9414,0,357,9092,
722,586,9414,0,357,9092,
723,586,9414,0,357,9092,
724,586,9414,0,357,9092,
725,585,9415,0,357,9093,
726,585,9415,0,357,9093,
727,578,9422,0,363,9094,
728,571,9429,0,369,9095,
729,570,9430,0,370,9095,
730,570,9430,0,370,9095,
731,568,9432,0,370,9097,
732,567,9433,0,371,9097,
733,566,9434,0,372,9097,
734,565,9435,0,373,9097,
735,565,9435,0,373,9097,
736,564,9436,0,373,9098,
737,560,9440,0,373,9102,
738,560,9440,0,373,9102,
739,560,9440,0,373,9102,
740,559,9441,0,374,9102,
741,558,9442,0,375,9102,
742,555,9445,0,377,9103,
743,553,9447,0,379,9103,
744,553,9447,0,379,9103,
745,553,9447,0,379,9103,
746,553,9447,0,379,9103,
747,552,9448,0,380,9103,
748,551,9449,0,381,9103,
749,548,9452,0,382,9105,
750,548,9452,0,382,9105,
751,546,9454,0,382,9107,
752,546,9454,0,382,9107,
753,543,9457,0,382,9110,
754,543,9457,0,382,9110,
755,543,9457,0,382,9110,
756,541,9459,0,382,9112,
757,541,9459,0,382,9112,
758,540,9460,0,383,9112,
759,540,9460,0,383,9112,
760,539,9461,0,384,9112,
761,538,9462,0,384,9113,
762,538,9462,0,384,9113,
763,537,9463,0,385,9113,
764,535,9465,0,387,9113,
765,533,9467,0,388,9114,
766,533,9467,0,388,9114,
767,533,9467,0,388,9114,
768,533,9467,0,388,9114,
769,531,9469,0,388,9116,
770,531,9469,0,388,9116,
771,531,9469,0,388,9116,
772,531,9469,0,388,9116,
773,530,9470,0,388,9117,
774,529,9471,0,388,9118,
775,528,9472,0,388,9119,
776,528,9472,0,388,9119,
777,528,9472,0,388,9119,
778,527,9473,0,388,9120,
779,527,9473,0,388,9120,
780,527,9473,0,388,9120,
781,527,9473,0,388,9120,
782,527,9473,0,388,9120,
783,526,9474,0,388,9121,
784,526,9474,0,388,9121,
785,524,9476,0,388,9123,
786,523,9477,0,388,9124,
787,522,9478,0,389,9124,
788,522,9478,0,389,9124,
789,521,9479,0,389,9125,
790,520,9480,0,389,9126,
791,520,9480,0,389,9126,
792,519,9481,0,390,9126,
793,518,9482,0,391,9126,
794,517,9483,0,392,9126,
795,516,9484,0,393,9126,
796,511,9489,0,393,9131,
797,510,9490,0,393,9132,
798,510,9490,0,393,9132,
799,508,9492,0,395,9132,
800,507,9493,0,396,9132,
801,503,9497,0,400,9132,
802,501,9499,0,400,9134,
803,501,9499,0,400,9134,
804,501,9499,0,400,9134,
805,498,9502,0,206,9331,
806,498,9502,0,206,9331,
807,498,9502,0,206,9331,
808,498,9502,0,206,9331,
809,474,9526,0,206,9355,
810,474,9526,0,206,9355,
811,474,9526,0,206,9355,
812,474,9526,0,206,9355,
813,472,9528,0,207,9356,
814,469,9531,0,209,9357,
815,469,9531,0,209,9357,
816,469,9531,0,209,9357,
817,468,9532,0,209,9358,
818,467,9533,0,209,9359,
819,466,9534,0,209,9360,
820,465,9535,0,209,9361,
821,465,9535,0,209,9361,
822,465,9535,0,209,9361,
823,464,9536,0,209,9362,
824,464,9536,0,209,9362,
825,464,9536,0,209,9362,
826,464,9536,0,209,9362,
827,461,9539,0,210,9364,
828,461,9539,0,210,9364,
829,461,9539,0,210,9364,
830,461,9539,0,210,9364,
831,461,9539,0,210,9364,
832,461,9539,0,210,9364,
833,453,9547,0,210,9372,
834,453,9547,0,210,9372,
835,452,9548,0,210,9373,
836,452,9548,0,210,9373,
837,450,9550,0,211,9374,
838,448,9552,0,212,9375,
839,442,9558,0,218,9375,
840,441,9559,0,218,9376,
841,440,9560,0,218,9377,
842,438,9562,0,218,9379,
843,438,9562,0,218,9379,
844,437,9563,0,219,9379,
845,434,9566,0,220,9381,
846,433,9567,0,221,9381,
847,432,9568,0,222,9381,
848,431,9569,0,223,9381,
849,429,9571,0,224,9382,
850,428,9572,0,225,9382,
851,428,9572,0,225,9382,
852,428,9572,0,225,9382,
